Time,I(L7),i_ref_BB,iL_BB,iout_est_BB,iout_est_filt_BB,pwmBB,udc_BB,Uref_BB,I(L6)
1.0000000000000001e-05,0.0009986172812479785,0,0,0,0,1,100,240,0.0009986172812479785
2.0000000000000002e-05,1.3336647680263574,0,0.0009986180771193176,0,0,1,99.900107742537443,240,1.3336647680263574
3.0000000000000004e-05,2.6654427234333165,0,1.3336647697315129,1.997833251953125,0.026434019486738063,1,99.800282033275238,240,2.6654427234333165
4.0000000000000003e-05,3.99655490234526,0.063441649079322815,2.6654427216499244,1.9964599609375,0.074648807778109144,1,99.700556075379239,240,3.99655490234526
5.0000000000000002e-05,5.3267797737423814,0.17915712296962738,3.9965549092357833,1.99462890625,0.14045122523357692,1,99.600904868701875,240,5.3267797737423814
6.0000000000000002e-05,6.6561179290959629,0.33708295226097107,5.3267797781586523,1.992950439453125,0.22009720949412459,1,99.501353263906196,240,6.6561179290959629
7.0000000000000007e-05,7.9845699594830153,0.52823328971862793,6.6561179323798569,1.991119384765625,0.31026447489478065,1,99.401901161439611,240,7.9845699594830153
8.0000000000000007e-05,9.3121364555865433,0.74463468790054321,7.9845699687552951,1.988983154296875,0.40802607595274171,1,99.302548461849042,240,9.3121364555865433
9.0000000000000006e-05,10.638818007695809,0.97926253080368042,9.3121364557191555,1.98699951171875,0.51083110147171906,1,99.203295065780836,240,10.638818007695809
0.0001,11.964615205706592,1.2259947061538696,10.638818011443618,1.98516845703125,0.61647746613294341,1,99.10414087398064,240,11.964615205706592
0.00011,13.289528639121452,1.4795459508895874,11.964615204362872,1.9830322265625,0.72307844068408789,1,99.005085787293297,240,13.289528639121452
0.00012,14.613558897049993,1.7353881597518921,13.289528645543669,1.981048583984375,0.82904254912331976,1,98.906129706662668,240,14.613558897049993
0.00013000000000000002,15.936706568209122,1.9897021055221558,14.613558903420198,1.979217529296875,0.93304676140357967,1,98.807272533131737,240,15.936706568209122
0.00014000000000000001,17.258972240923313,2.2393121719360352,15.936706574848358,1.977081298828125,1.0340044232431618,1,98.708514167842381,240,17.258972240923313
0.00015000000000000001,18.580356503124868,2.4816107749938965,17.258972242473192,1.975250244140625,1.1310493899917238,1,98.609854512035298,240,18.580356503124868
0.00016000000000000001,19.900859942354181,2.7145185470581055,18.580356503150597,1.973114013671875,1.2235036634354126,1,98.511293467049796,240,19.900859942354181
