   Time             I(L7)             i_out_M_BB1       udc_BB1           i_pred_BB1        iL_BB1            Uref_BB1          pwmBB1            i_ref_BB1       
  3.300000000E-04   2.114929681E+01   2.244920005E+00   1.122460249E+02   0.000000000E+00   2.133306997E+01   2.400000000E+02   0.000000000E+00   8.063836098E+00 
  3.400000000E-04   2.095306214E+01   2.263906765E+00   1.131953629E+02   0.000000000E+00   2.114929681E+01   2.400000000E+02   0.000000000E+00   8.327383041E+00 
  3.500000000E-04   2.074451753E+01   2.282684633E+00   1.141342565E+02   0.000000000E+00   2.095306213E+01   2.400000000E+02   0.000000000E+00   8.581858635E+00 
  3.600000000E-04   2.052382251E+01   2.301241445E+00   1.150620973E+02   0.000000000E+00   2.074451752E+01   2.400000000E+02   0.000000000E+00   8.827197075E+00 
  3.700000000E-04   2.029114443E+01   2.319565191E+00   1.159782850E+02   0.000000000E+00   2.052382251E+01   2.400000000E+02   0.000000000E+00   9.063336372E+00 
  3.800000000E-04   2.004665838E+01   2.337644055E+00   1.168822284E+02   0.000000000E+00   2.029114443E+01   2.400000000E+02   0.000000000E+00   9.290219307E+00 
  3.900000000E-04   1.979054701E+01   2.355466385E+00   1.177733451E+02   0.000000000E+00   2.004665838E+01   2.400000000E+02   0.000000000E+00   9.507793427E+00 
  4.000000000E-04   1.952300041E+01   2.373020735E+00   1.186510625E+02   0.000000000E+00   1.979054701E+01   2.400000000E+02   1.000000000E+00   9.716009140E+00 
  4.100000000E-04   2.084265554E+01   2.390295833E+00   1.195148177E+02   0.000000000E+00   1.952300040E+01   2.400000000E+02   1.000000000E+00   9.914824486E+00 
  4.200000000E-04   2.216143114E+01   2.387907315E+00   1.193953918E+02   0.000000000E+00   2.084265554E+01   2.400000000E+02   0.000000000E+00   1.012018490E+01 
  4.300000000E-04   2.187999121E+01   2.385521199E+00   1.192760854E+02   0.000000000E+00   2.216143115E+01   2.400000000E+02   0.000000000E+00   1.034782219E+01 
  4.400000000E-04   2.158586597E+01   2.405072117E+00   1.202536321E+02   0.000000000E+00   2.187999121E+01   2.400000000E+02   0.000000000E+00   1.058127975E+01 
  4.500000000E-04   2.128236446E+01   2.424312761E+00   1.212156646E+02   0.000000000E+00   2.158586597E+01   2.400000000E+02   0.000000000E+00   1.080431271E+01 
  4.600000000E-04   2.096651209E+01   2.443313051E+00   1.221656791E+02   0.000000000E+00   2.128236446E+01   2.400000000E+02   0.000000000E+00   1.101690865E+01 
  4.700000000E-04   2.063854000E+01   2.461984820E+00   1.230992679E+02   0.000000000E+00   2.096651208E+01   2.400000000E+02   0.000000000E+00   1.121905899E+01 
  4.800000000E-04   2.029868701E+01   2.480316176E+00   1.240158361E+02   0.000000000E+00   2.063853999E+01   2.400000000E+02   0.000000000E+00   1.141072845E+01 
  4.900000000E-04   1.994719947E+01   2.498295473E+00   1.249148009E+02   0.000000000E+00   2.029868700E+01   2.400000000E+02   0.000000000E+00   1.159188652E+01 
  5.000000000E-04   1.958433109E+01   2.515911298E+00   1.257955922E+02   0.000000000E+00   1.994719947E+01   2.400000000E+02   1.000000000E+00   1.176250744E+01 
  5.100000000E-04   2.090394534E+01   2.533152518E+00   1.266576533E+02   0.000000000E+00   1.958433108E+01   2.400000000E+02   1.000000000E+00   1.192257214E+01 
  5.200000000E-04   2.222268010E+01   2.530621231E+00   1.265310899E+02   0.000000000E+00   2.090394534E+01   2.400000000E+02   0.000000000E+00   1.208900356E+01 
  5.300000000E-04   2.184627154E+01   2.528092494E+00   1.264046531E+02   0.000000000E+00   2.222268010E+01   2.400000000E+02   0.000000000E+00   1.227849007E+01 
