Time,I_L4_,I_L5_,I_L6_,I_L7_,iout_est_filt_COMP,i_out_M_COMP,iout_est_COMP,udc_COMP,i_pred_COMP,i_ref_COMP,iL_COMP,Uref_COMP,iout_est_filt_MPC,i_out_M_MPC,iout_est_MPC,udc_MPC,i_pred_MPC,i_ref_IP2,iL_MPC,Uref_MPC,iout_est_filt_BB,i_out_M_BB,iout_est_BB,udc_BB,i_pred_BB,i_ref_BB,iL_BB,Uref_BB,i_exp,pwmBB,i_out_M_BB1,udc_BB1,i_pred_BB1,iL_BB1,Uref_BB1,pwmBB1,i_ref_BB1
0.2598385,1.68503189,1.185311496,-0.8412933845,18.46827793,-0.1482491572,0.1603381907,6.065979004,160.5520416,1.600557685,-0.861920476,1.725458059,160,-0.1483097808,0.1597562598,6.078338623,159.9231752,1.100355864,0.5811921358,1.225301332,160,0.1617287704,0.1605497388,0.1210971177,160.5234465,0,0.2591052949,-0.800972618,160,-0.8632660508,0,0.1624103945,163.2055808,0,18.5110467,160,0,1.556656361
0.259832,2.210454497,1.705125851,-0.316912725,19.02197744,-0.1482491572,0.1603381907,6.065979004,160.4926433,1.600557685,-0.861920476,2.250859023,160,-0.1483097808,0.1597562598,6.078338623,159.8801031,1.100355864,0.5811921358,1.745104736,160,0.1617287704,0.1605497388,0.1210971177,160.5461755,0,0.2591052949,-0.276558886,160,-0.8632660508,0,0.1624103945,162.6002618,0,19.06436159,160,0,1.556656361
0.2598365,1.846728734,1.345267937,-0.6799928949,18.63917785,-0.1482491572,0.1603381907,6.065979004,160.5355842,1.600557685,-0.861920476,1.887149455,160,-0.1483097808,0.1597562598,6.078338623,159.9117217,1.100355864,0.5811921358,1.385255604,160,0.1617287704,0.1605497388,0.1210971177,160.5322552,0,0.2591052949,-0.6396607439,160,-0.8632660508,0,0.1624103945,163.0212473,0,18.68182958,160,0,1.556656361
0.259838,1.725458059,1.225301336,-0.8009726153,18.51104671,-0.1482491572,0.1603381907,6.065979004,160.5480789,1.600557685,-0.861920476,1.765882963,160,-0.1483097808,0.1597562598,6.078338623,159.9204618,1.100355864,0.5811921358,1.265290734,160,0.1617287704,0.1605497388,0.1210971177,160.5257999,0,0.2591052949,-0.7606489021,160,-0.8632660508,0,0.1624103945,163.1596577,0,18.55378634,160,0,1.556656361
0.259831,2.291261412,1.785082321,-0.2362029659,19.10671566,-0.1482491572,0.1603381907,6.065979004,160.4819895,1.600557685,-0.861920476,2.331661594,160,-0.1483097808,0.1597562598,6.078338623,159.8719771,1.100355864,0.5811921358,1.825058526,160,0.1617287704,0.1605497388,0.1210971177,160.5481593,0,0.2591052949,-0.1958450433,160,-0.8632660508,0,0.1624103945,162.5055411,0,19.14903956,160,0,1.556656361
0.25983,2.372059509,1.865033288,-0.1554851797,19.19133323,-0.1482491572,0.1603381907,6.065979004,160.4709316,1.600557685,-0.861920476,2.412455078,160,-0.1483097808,0.1597562598,6.078338623,159.8634514,1.100355864,0.5811921358,1.905006538,160,0.1617287704,0.1605497388,0.1210971177,160.5497396,0,0.2591052949,-0.115123445,160,-0.8632660508,0,0.1624103945,162.4103969,0,19.23359659,160,0,1.556656361
0.2598215,3.058411141,2.544318934,0.530864112,19.90563067,-0.1482491572,0.1603381907,6.065979004,160.3606338,1.600557685,-0.861920476,3.098756636,160,-0.1483097808,0.1597562598,6.078338623,159.7748455,1.100355864,0.5811921358,2.584256325,160,0.161940796,0.1605433901,0.120303154,160.5468723,0,0.2584781945,0.5712473872,160,-0.8632660508,0,0.161435846,161.5846555,0,19.94736794,160,0,1.18734324
0.259822,3.01806216,2.504378896,0.4904815617,19.86386189,-0.1482491572,0.1603381907,6.065979004,160.3679293,1.600557685,-0.861920476,3.058411139,160,-0.1483097808,0.1597562598,6.078338623,159.7808567,1.100355864,0.5811921358,2.544318932,160,0.161940796,0.1605433901,0.120303154,160.5478485,0,0.2584781945,0.53086411,160,-0.8632660508,0,0.161435846,161.6340677,0,19.90563067,160,0,1.18734324
0.2598265,2.654775629,2.144810632,0.1270825244,19.48653636,-0.1482491572,0.1603381907,6.065979004,160.4290481,1.600557685,-0.861920476,2.69515294,160,-0.1483097808,0.1597562598,6.078338623,159.8304633,1.100355864,0.5811921358,2.184771454,160,0.161940796,0.1605433901,0.120303154,160.5520917,0,0.2584781945,0.1674554824,160,-0.8632660508,0,0.161435846,162.0740652,0,19.52858558,160,0,1.18734324
0.2598355,1.927568651,1.42524257,-0.5993259084,18.72445187,-0.1482491572,0.1603381907,6.065979004,160.5267491,1.600557685,-0.861920476,1.967986243,160,-0.1483097808,0.1597562598,6.078338623,159.9053952,1.100355864,0.5811921358,1.465228753,160,0.1617287704,0.1605497388,0.1210971177,160.5360545,0,0.2591052949,-0.558988468,160,-0.8632660508,0,0.1624103945,162.9284401,0,18.76704464,160,0,1.556656361
0.259824,2.856632734,2.344593649,0.3289599984,19.69647302,-0.1482491572,0.1603381907,6.065979004,160.3961024,1.600557685,-0.861920476,2.896994978,160,-0.1483097808,0.1597562598,6.078338623,159.8039029,1.100355864,0.5811921358,2.384543592,160,0.161940796,0.1605433901,0.120303154,160.5507439,0,0.2584781945,0.3693389594,160,-0.8632660508,0,0.161435846,161.8306706,0,19.73836715,160,0,1.18734324
0.2598255,2.735527376,2.224730234,0.2078297792,19.57060393,-0.1482491572,0.1603381907,6.065979004,160.4161726,1.600557685,-0.861920476,2.775898864,160,-0.1483097808,0.1597562598,6.078338623,159.8201389,1.100355864,0.5811921358,2.264686902,160,0.161940796,0.1605433901,0.120303154,160.5518554,0,0.2584781945,0.2482053389,160,-0.8632660508,0,0.161435846,161.9770224,0,19.61259133,160,0,1.18734324
0.259829,2.45284825,1.944978218,-0.07475990375,19.27582958,-0.1482491572,0.1603381907,6.065979004,160.4594698,1.600557685,-0.861920476,2.493238942,160,-0.1483097808,0.1597562598,6.078338623,159.8545259,1.100355864,0.5811921358,1.984948248,160,0.161940796,0.1605433901,0.120303154,160.5509162,0,0.2584781945,-0.03439462404,160,-0.8632660508,0,0.161435846,162.3148297,0,19.31803211,160,0,1.18734324
0.259825,2.775898864,2.264686904,0.2482053413,19.61259134,-0.1482491572,0.1603381907,6.065979004,160.4095835,1.600557685,-0.861920476,2.816267337,160,-0.1483097808,0.1597562598,6.078338623,159.8148268,1.100355864,0.5811921358,2.304641395,160,0.161940796,0.1605433901,0.120303154,160.5515858,0,0.2584781945,0.288582104,160,-0.8632660508,0,0.161435846,161.9283434,0,19.65454772,160,0,1.18734324
